feature,apoptosis,necrosis,senescence,notes
trigger,intrinsic (DNA damage) or extrinsic (death receptor),energy supply failure or membrane disruption,telomere shortening or persistent stress,mechanism class
energy requirement,requires ATP throughout,occurs when ATP collapses,maintained at near-normal levels,distinguishes the two principal death modes
timescale,hours,minutes (acute) to hours (subacute),days to lifetime,
cell volume change,cell shrinks,cell swells,no major change,
plasma membrane integrity,maintained until late; vesiculates,early rupture,maintained,
DNA fragmentation,internucleosomal ladder (180 bp multiples),random,unchanged or stable damage signal,
chromatin condensation,marked (pyknosis),variable,euchromatin reorganised but condensed lamin-B1 loss,
inflammatory response,absent (clean clearance),strong (DAMP release),mild and chronic (SASP),
clearance mechanism,phagocytosed by neighbours,phagocytosed after immune recruitment,not cleared; accumulates with age,
caspase activity,high (caspase 3/7),variable,absent,
mitochondrial cytochrome c release,key intrinsic-path event,bulk release on rupture,not central,
canonical diagnostic stain,TUNEL; annexin V (early); active caspase-3,LDH release; propidium iodide,SA-beta-galactosidase,
disease association,when failed: cancer; when excessive: neurodegeneration,infarction (heart cerebral); trauma,ageing diseases; selective senolytics under study,
year_named,1972 (Kerr et al.),pre-modern,1961 (Hayflick),
