ion,charge,cell_type,intracellular_mM,extracellular_mM,nernst_potential_mV_at_310K,notes,source
K+,+1,mammalian,140,4,-95,potassium dominant in setting resting potential,alberts-mbc-2022
Na+,+1,mammalian,10,145,72,sodium gradient maintained by Na/K ATPase,alberts-mbc-2022
Cl-,-1,mammalian,10,110,-64,passive in most cells; active in epithelia,alberts-mbc-2022
Ca2+ (free),+2,mammalian,0.0001,1.0,123,ten-thousand-fold gradient enables Ca signalling,alberts-mbc-2022
H+,+1,mammalian,0.0001 (pH 7.4),0.00004 (pH 7.4 plasma),-25,equivalent expressed as pH,alberts-mbc-2022
Mg2+ (free),+2,mammalian,0.5,1.0,9,less steep than Ca; less involved in signalling,alberts-mbc-2022
K+,+1,squid_giant_axon,400,20,-80,Hodgkin-Huxley canonical preparation at 6.3 C,hodgkin-huxley-1952
Na+,+1,squid_giant_axon,50,440,58,Hodgkin-Huxley canonical preparation at 6.3 C,hodgkin-huxley-1952
K+,+1,plant_typical,100,1,-123,plant cells; concentrations and potentials vary widely,alberts-mbc-2022
Na+,+1,plant_typical,1,1,0,sodium less central in plant ion balance,alberts-mbc-2022
H+,+1,E. coli (cytoplasm),0.0001 (pH 7.6),0.00001 (pH 7.0 medium),-54,proton motive force drives ATP synthesis and motility,bionumbers-2015
