crop,pathway,typical_field_efficiency_percent,record_efficiency_percent,annual_yield_t_per_ha,note
maize,C4,1.5,3.7,12,US Corn Belt average; record under irrigation
sugarcane,C4,2.0,4.0,80,wet tropical agriculture; highest documented sustained field efficiency
sorghum,C4,1.5,3.5,8,drought-tolerant C4 grass
miscanthus,C4 perennial,2.5,4.4,20,bioenergy crop; high LAI integration
wheat,C3,0.8,2.4,7,northern hemisphere wet temperate
rice,C3,0.9,3.0,7,paddy with flooding
soybean,C3 nitrogen-fixing,0.7,2.0,3,nitrogen fixation imposes ATP cost
algae open pond,C3 dilute,1.0,3.0,30,Chlorella average; record Spirulina
algae photobioreactor,C3,3.0,8.0,80,closed culture under artificial light
photovoltaic + electrolysis,inorganic,12.0,25.0,n/a,for comparison; solar-to-fuel via PV + water splitting
