family,sensor,measurand,working_range,typical_accuracy,readout,note
thermal,type K thermocouple,temperature,-200 to 1372 C,+/- 1.5 C or 0.4%,microvolt amplifier with cold-junction comp.,Seebeck coefficient ~ 40 uV/K near room
thermal,Pt100 RTD,temperature,-200 to 850 C,+/- 0.1 to 0.5 C (class A or B),4-wire ratiometric resistance bridge,calibrated through ITS-90 fixed points
thermal,10 kOhm NTC thermistor,temperature,-50 to 150 C,+/- 0.2 C with calibration,voltage divider into ADC,strong nonlinearity; Steinhart-Hart or beta model
thermal,IR pyrometer,temperature,-50 to 3000 C,+/- 1 to 2% of reading,thermopile detector + emissivity setting,non-contact; needs target emissivity
electrical,Hall current sensor,current,-200 to 200 A typical,+/- 1 to 2%,offset-compensated Hall element,galvanic isolation from primary circuit
electrical,shunt resistor,current,DC and AC small,+/- 0.1% with precision shunts,differential voltage amplifier,inserts series impedance into measured circuit
mechanical,foil strain gauge,strain,+/- 5000 microstrain,+/- 0.1% of FS,Wheatstone bridge,gauge factor ~ 2 for foil; ~ 100 for semiconductor
mechanical,piezoelectric accelerometer,acceleration,0.5 Hz to 20 kHz,+/- 5% over band,charge amplifier or IEPE,no DC response; high-pass character
mechanical,LVDT,linear displacement,+/- 1 to 100 mm,+/- 0.1% of FS,AC excitation + synchronous demodulation,no sliding electrical contact at core
mechanical,MEMS accelerometer,acceleration,+/- 2 g to +/- 200 g,+/- 1 to 5% (consumer); 0.1% (industrial),capacitive or piezoresistive readout,smartphone-grade to industrial-grade range
optical,silicon photodiode,optical power,UV to near-IR,+/- 1% with calibration,transimpedance amplifier,linear from picowatt to milliwatt
optical,CMOS image sensor,light intensity (2D),wide dynamic range,not pixel-by-pixel calibrated,parallel ADCs + digital pipeline,smartphone main sensor
chemical,glass pH electrode,hydrogen ion activity,pH 0 to 14,+/- 0.05 pH,high-impedance ISE amplifier,Nernstian response; daily recalibration
chemical,non-dispersive infrared CO2,carbon dioxide,400 to 5000 ppm,+/- 30 to 50 ppm + 3% reading,IR source + filter + thermopile,humidity cross-sensitivity
magnetic,Hall switch,magnetic field threshold,0 to 1 T,switching B; not metrology,digital open-drain output,proximity / rotation sensing
magnetic,fluxgate magnetometer,magnetic field vector,+/- 100 uT,+/- 1 nT,saturable core + lock-in,used in geomagnetic surveys
