fluid,service,Rf_low_m2K_per_W,Rf_high_m2K_per_W,note
cooling water treated,closed loop,0.0001,0.0002,low hardness treated
cooling water,cooling tower,0.0002,0.0005,open recirculating
cooling water,river or canal,0.0003,0.0008,higher silt load
seawater,below 50 C,0.0001,0.0002,biofouling risk if stagnant
crude oil,refinery preheat,0.0009,0.002,coking at high wall temperature
distillation products,light ends,0.0002,0.0004,clean service
fuel oil,heavy,0.0009,0.0018,asphaltene deposition
steam,clean,0.00005,0.0001,non oil bearing
engine jacket water,glycol mix,0.0002,0.0003,corrosion inhibited
refrigerant liquid,clean,0.0001,0.0002,sealed system
