id,name,reference_value,units,year,source
1,total human biomass,4.0e8,t,2024,Walpole 2012 PLOS extended to 2024 population
2,fresh-water lakes mass,9.1e16,t,2014,Verpoorter 2014 GRL
3,world road network length,6.4e7,km,2020,CIA World Factbook
4,human capillary length,1.0e5,km,2010,Pittman 2011 physiology text
5,seconds in human lifetime,2.4e9,s,2020,WHO life expectancy
6,747 cruise kinetic energy,7.0e9,J,2024,B747-400 OEW and Mach 0.85
7,world annual primary energy,6.0e20,J,2022,Energy Institute 2024
8,Earth atmosphere mass,5.1e18,kg,2005,Trenberth 2005
9,Earth ocean mass,1.4e21,kg,2021,IPCC AR6
10,stars in Milky Way,2.0e11,nan,2016,Bland-Hawthorn 2016
11,universe age,4.36e17,s,2024,Planck 2018 + revisions
12,copper atoms in 5 g coin,4.7e22,nan,2024,Avogadro and atomic mass
17,national annual food mass,nan,t,nan,country-specific
24,human cells,3.0e13,nan,2016,Sender Milo PLOS Biology 2016
25,daily human metabolism,1.0e7,J,2010,Harris-Benedict
26,annual breathing volume,8.0e3,m^3,2010,Patty's industrial hygiene
27,lifetime cardiac output,2.0e5,m^3,2010,physiology text
28,brain synapses,1.5e14,nan,2009,Drachman 2005
29,gut bacterial cells,4.0e13,nan,2016,Sender Milo PLOS Biology 2016
33,annual transistor production,1.0e22,nan,2022,industry estimate range
34,data centre annual electricity,3.0e11,kWh,2022,IEA 2024 (240-340 TWh)
35,global internet traffic per second,7.0e13,B/s,2024,TeleGeography 2024
36,annual car production,8.0e7,nan,2022,OICA 2023
38,Linux kernel lines of code,3.0e7,nan,2024,Linux Foundation 2024 report
40,annual world plastic production,4.0e8,t,2022,Plastics Europe 2023
41,annual world steel production,1.9e9,t,2022,World Steel Association 2023
42,top-500 aggregate flops,8.0e18,nan,2024,TOP500 list November 2024
43,annual fossil CO2 emissions,3.7e10,t,2022,Global Carbon Project 2023
44,CO2 radiative forcing since 1850,2.1,W/m^2,2021,IPCC AR6
45,microplastic ocean mass,nan,t,nan,deep uncertainty: 0.1-1 Mt range
46,agricultural water withdrawal,2.8e12,m^3,2020,FAO AQUASTAT
47,world annual GDP PPP,1.65e14,USD,2022,World Bank
48,passenger aviation revenue,8.0e11,USD,2022,IATA
49,annual soil erosion,3.6e10,t,2020,deep uncertainty: FAO and Borrelli 2017
50,anthropogenic mass,1.1e12,t,2020,Elhacham 2020 Nature
