failure_mode,microbial_pct,mammalian_pct,detection_route,notes
contamination_bacterial,1.5,3.0,environmental monitoring + sterility,higher risk in long campaigns
contamination_viral_mycoplasma,0.0,1.5,in-process PCR / sterility,mammalian only
filter_integrity_fail,0.5,0.8,pre-use post-use integrity test,upstream sterile filters
out_of_spec_product_quality,2.0,3.5,release analytical panel,glycoform / aggregate / clip
out_of_spec_in_process,1.0,1.5,DO / pH / OUR trend,can salvage via deviation
record_or_deviation,1.0,1.5,batch-record review,QA hold
scale_up_oxygen_deficit,0.5,0.3,DO drop trend,upstream
scale_up_mixing_gradient,0.3,0.4,heterogeneous broth metrics,
host_cell_lysis_or_drift,0.5,1.2,viability decline,
mechanical_or_utility,0.8,1.0,maintenance log,steam or chiller fault
operator_error,0.4,0.6,deviation log,
overall_batch_rejection,8.5,14.8,sum across modes,industry mid-2020s
