material,modulus_MPa,degradation_half_life_weeks,medical_grade_cost_USD_per_g,cell_binding_signal,notes
PLA (polylactic acid),2000,52,30,absent,reproducible; FDA-approved for sutures and bone screws; acid byproducts on degradation
PLGA 50:50 (poly-lactic-glycolic acid),1500,3,55,absent,tunable degradation via lactic/glycolic ratio
PLGA 75:25,1700,12,55,absent,
PLGA 85:15,1900,26,55,absent,
PCL (polycaprolactone),400,104,40,absent,slow degradation; soft modulus near soft tissue
alginate hydrogel,5,4,10,absent (RGD-modified versions available),photo-crosslinkable variants
collagen type I gel,0.5,2,80,present (integrin binding),variable batch; native ECM components
hydroxyapatite ceramic,3.5e4,520,90,osteoinductive,bonds directly to bone; not resorbable in this form
decellularised tissue (porcine SIS),0.3,12,150,present (full native ECM),clinically used (SIS sheets); donor-tissue scale-up limit
fibrin gel,0.03,2,40,present (RGD),autologous from patient blood
GelMA (methacrylated gelatin),5,8,60,present,photo-crosslinkable; widely used bioink
polyethylene-terephthalate / polyurethane (synthetic trachea),200,>520,15,absent,Macchiarini 2011-2014 scaffold; clinical failure
